"FullName","Length","LastWriteTime"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\fi_FI.json.gz","269529","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\fr_CA.json.gz","275288","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\fr_FR.json.gz","278466","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\hr_HR.json.gz","275247","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\hu_HU.json.gz","282936","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\it_IT.json.gz","269751","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\ja_JP.json.gz","272493","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\ko_KR.json.gz","258901","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\ms_MY.json.gz","265642","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\nl_NL.json.gz","265871","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\no_NO.json.gz","260099","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\pl_PL.json.gz","279831","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\pt_BR.json.gz","275286","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\pt_PT.json.gz","274642","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\ro_RO.json.gz","273693","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\ru_RU.json.gz","313526","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\sk_SK.json.gz","283295","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\sl_SI.json.gz","271689","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\sr_RS.json.gz","275492","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\sv_SE.json.gz","263651","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\tr_TR.json.gz","268576","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\uk_UA.json.gz","311743","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\xx_ID.json.gz","457978","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\xx_LI.json.gz","376697","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\zh_CN.json.gz","261505","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\zh_HK.json.gz","261798","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\eight-inch\zh_TW.json.gz","258489","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\ar_SA.json.gz","310412","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\bs_BA.json.gz","290267","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\cs_CZ.json.gz","293617","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\da_DK.json.gz","279925","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\de_DE.json.gz","275114","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\el_GR.json.gz","353259","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_CN.json.gz","260184","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_GB.json.gz","272699","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_JP.json.gz","260865","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_KR.json.gz","260192","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_SA.json.gz","272699","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_TW.json.gz","260117","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\en_US.json.gz","259202","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\es_ES.json.gz","288494","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\es_MX.json.gz","291580","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\fi_FI.json.gz","289430","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\fr_CA.json.gz","295306","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\fr_FR.json.gz","297742","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\hr_HR.json.gz","293797","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\hu_HU.json.gz","301767","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\it_IT.json.gz","288911","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\ja_JP.json.gz","288690","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\ko_KR.json.gz","276844","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\ms_MY.json.gz","282841","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\nl_NL.json.gz","284960","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\no_NO.json.gz","278012","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\pl_PL.json.gz","300323","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\pt_BR.json.gz","294123","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\pt_PT.json.gz","293977","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\ro_RO.json.gz","292994","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\ru_RU.json.gz","339039","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\sk_SK.json.gz","302794","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\sl_SI.json.gz","288932","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\sr_RS.json.gz","294150","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\sv_SE.json.gz","282865","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\tr_TR.json.gz","286976","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\uk_UA.json.gz","334790","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\xx_ID.json.gz","457978","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\xx_LI.json.gz","420437","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\zh_CN.json.gz","277330","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\zh_HK.json.gz","276991","13.08.2025 15:03:51"
"C:\Users\Need2rev\Documents\GitHub\Audi-firmware-with-nodejs-server-\audi\i18n\ten-inch\zh_TW.json.gz","274444","13.08.2025 15:03:51"
